Fecha,Local,Visit,Local pitcher,Visit pitcher
7768,20210519.0,Athletics,Astros,F. Montas ,Z. Greinke 
8404,20210711.0,Giants,Nationals,K. Gausman ,E. Fedde 
5980,20190822.0,Astros,Tigers,G. Cole ,J. Zimmermann 
5610,20190721.0,Dodgers,Marlins,W. Buehler ,J. Yamamoto 
2886,20180609.0,Marlins,Padres,D. Straily,T. Ross
7075,20200918.0,Rockies,Dodgers,R. Castellani ,A. Wood
10497,20220710.0,Mets,Marlins,T. Walker,S. Alcantara
3170,20180702.0,Rockies,Giants,K. Freeland ,M. Bumgarner 
1473,20170823.0,Orioles,Athletics,D. Bundy,D. Gossett
1691,20170908.0,Athletics,Astros,J. Cotton,C. McHugh
9842,20220517.0,Rays,Tigers,S. McClanahan ,B. Brieske 
9226,20210921.0,Cubs,Twins,A. Mills ,G. Jax
7281,20210409.0,Rays,Yankees,R. Hill ,C. Kluber 
5794,20190806.0,Mariners,Padres,M. Wisler,D. Lamet 
7539,20210430.0,Blue,Braves,R. Ray ,D. Smyly 
1574,20170830.0,Astros,Rangers,D. Keuchel ,A. Cashner 
7417,20210420.0,Royals,Rays,B. Keller ,R. Hill
1807,20170918.0,Yankees,Twins,J. Garcia,E. Santana 
506,20170531.0,Guardians,Athletics,M. Clevinger ,S. Manaea 
3087,20180625.0,Marlins,Diamondbacks,D. Straily ,S. Miller 
3920,20180905.0,Rangers,Angels,B. Colon ,J. Barria 
6660,20200812.0,Phillies,Orioles,Z. Eflin ,W. LeBlanc
7322,20210412.0,Giants,Reds,A. Sanchez ,W. Miley 
135,20170430.0,Cardinals,Reds,M. Leake,B. Arroyo
3696,20180818.0,Yankees,Blue,L. Severino ,S. Reid-Foley 
7597,20210505.0,Yankees,Astros,J. Montgomery,L. Garcia
1235,20170802.0,Giants,Athletics,M. Moore ,D. Gossett 
3877,20180902.0,Athletics,Mariners,E. Jackson ,F. Hernandez 
5516,20190714.0,Brewers,Giants,J. Chacin,T. Beede 
338,20170517.0,Cubs,Reds,K. Hendricks ,S. Feldman 
6946,20200907.0,Guardians,Royals,Z. Plesac ,B. Keller 
7731,20210516.0,Mariners,Guardians,R. Dugger,S. Bieber 
7243,20210405.0,Padres,Giants,A. Morejon,A. DeSclafani
6022,20190825.0,Dodgers,Yankees,C. Kershaw ,D. German 
8996,20210901.0,Rays,R.Sox,D. Rasmussen,C. Sale
4388,20190406.0,Tigers,Royals,M. Moore,J. Lopez
9125,20210912.0,Cardinals,Reds,J.A. Happ ,S. Gray 
7418,20210420.0,Athletics,Twins,J. Luzardo ,J. Berrios 
6567,20200803.0,Rockies,Giants,C. Gonzalez,J. Cueto
2020,20180401.0,Mets,Cardinals,S. Matz ,L. Weaver 
826,20170627.0,Guardians,Rangers,M. Clevinger,T. Ross
5849,20190811.0,Marlins,Braves,H. Noesi ,M. Foltynewicz 
8825,20210817.0,Giants,Mets,L. Webb ,M. Stroman 
