Fecha,Local,Visit,Local pitcher,Visit pitcher,pitch,loc bull,vis bull,factor loc,factor loc 10,Direct local win?,Local Win?
20170427.0,Cardinals,Blue,A. Wainwright ,C. Lawrence ,0.5221674876847292,-1.0285714285714285,-13.338461538461537,0.4,0.29999999999999993,0.5,1.0
20170427.0,Diamondbacks,Padres,T. Walker ,J. Weaver ,0.3156199677938808,-1.7999999999999998,-9.52235294117647,0.39999999999999997,0.19999999999999996,0.8,1.0
20170427.0,Angels,Athletics,R. Nolasco ,K. Graveman ,0.3978328173374612,-0.8,-12.462352941176471,0.4,0.0,1.0,1.0
20170428.0,Yankees,Orioles,C. Sabathia,K. Gausman,0.7064516129032258,-0.18000000000000002,-11.846250000000001,0.20000000000000007,0.0,0.4,1.0
20170428.0,Nationals,Mets,M. Scherzer ,J. deGrom ,0.6517857142857142,-0.8909090909090909,-10.014117647058825,0.19999999999999996,0.8,0.8,0.0
20170428.0,Blue,Rays,M. Stroman,B. Snell,-0.18627450980392157,-1.7894736842105263,-4.717142857142857,0.2,-0.09999999999999998,0.4,0.0
20170428.0,Guardians,Mariners,C. Carrasco ,A. Miranda ,0.5958254269449716,-0.8571428571428571,-4.431818181818182,0.0,0.19999999999999996,0.5,0.0
20170428.0,Tigers,White,M. Boyd,M. Pelfrey,0.41793103448275865,-1.3333333333333335,-11.736470588235296,0.0,-0.19999999999999996,0.8,0.0
20170428.0,Marlins,Pirates,A. Conley ,J. Taillon ,-0.12068965517241376,-0.5333333333333332,-15.569230769230767,0.19999999999999996,0.09999999999999998,0.6,0.0
20170428.0,Rangers,Angels,N. Martinez,T. Skaggs,-0.7764182424916573,-0.6857142857142857,-15.832307692307694,0.39999999999999997,0.0,0.8,0.0
20170428.0,Brewers,Braves,C. Anderson,B. Colon,0.76,-0.17999999999999997,-10.095714285714287,0.19999999999999996,0.09999999999999998,0.6,0.0
20170428.0,Astros,Athletics,C. Morton ,J. Cotton ,-0.5093167701863354,-0.07058823529411766,-13.125,0.4,0.09999999999999998,0.8,1.0
20170428.0,Royals,Twins,I. Kennedy,K. Gibson,0.4764890282131661,-0.18181818181818182,-8.248888888888889,0.20000000000000007,-0.09999999999999998,0.8,0.0
20170428.0,Cardinals,Reds,L. Lynn ,T. Adleman ,-0.030303030303030276,-0.6666666666666666,-7.4,0.4,0.6000000000000001,0.4,1.0
20170428.0,Dodgers,Phillies,K. Maeda ,J. Eickhoff ,0.11226851851851849,-0.21,-13.100000000000001,-0.19999999999999996,-0.30000000000000004,0.8,1.0
20170428.0,Giants,Padres,J. Samardzija,L. Perdomo,0.53125,-1.157142857142857,-10.812222222222221,0.2,-0.10000000000000003,0.4,1.0
20170429.0,Yankees,Orioles,M. Pineda ,U. Jimenez ,0.32974910394265233,-0.7,-11.78,0.20000000000000007,0.09999999999999998,0.4,1.0
20170429.0,Nationals,Mets,S. Strasburg ,Z. Wheeler,0.31720430107526876,-1.8666666666666665,-10.360000000000001,0.0,0.6000000000000001,0.6,0.0
20170429.0,Blue,Rays,F. Liriano ,M. Andriese ,0.6257142857142858,-1.3263157894736846,-7.314285714285715,-0.2,-0.19999999999999996,0.4,1.0
20170429.0,Tigers,White,M. Fulmer,D. Holland,0.5222222222222223,-0.8941176470588236,-10.462222222222222,-0.39999999999999997,-0.3,0.6,0.0
20170429.0,R.Sox,Cubs,S. Wright ,J. Lackey ,-0.4285714285714286,-0.5066666666666666,-11.5,0.19999999999999996,-0.09999999999999998,1.0,0.0
20170429.0,Guardians,Mariners,D. Salazar ,Y. Gallardo ,0.7988505747126436,-0.6666666666666667,-5.460000000000001,-0.4,0.19999999999999996,0.4,1.0
20170429.0,Brewers,Braves,J. Nelson ,J. Garcia ,0.423076923076923,-1.92,-8.793750000000001,0.0,0.0,0.4,0.0
20170429.0,Astros,Athletics,J. Musgrove ,A. Triggs ,-0.2150537634408602,-0.11999999999999998,-8.421052631578947,0.6000000000000001,0.09999999999999998,1.0,0.0
20170429.0,Marlins,Pirates,D. Straily ,I. Nova ,0.6129032258064515,-0.27692307692307694,-14.350769230769231,0.19999999999999996,0.0,0.6,0.0
20170429.0,Rangers,Angels,Y. Darvish ,J. Chavez ,0.3692992213570635,-1.32,-13.44,0.0,-0.09999999999999998,0.6,1.0
