Fecha,Local,Visit,Local Score,Visit Score,Local i5,Visit i5,Local Hits,Visit Hits,Local pitcher,Local pitcher in,Local pitcher ERA,Local pitcher Hit ERA,Local pitcher K ERA,Local pitcher BB ERA,Visit pitcher,Visit pitcher in,Visit pitcher ERA,Visit pitcher Hit ERA,Visit pitcher K ERA,Visit pitcher BB ERA,Local Win?,L bullpen recieved,V bullpen recieved
20150410,White,Twins,0.0,6.0,0.0,2.0,3.0,10.0,H. Noesi ,4.2,2.0,4.0,6.0,6.0,T. Milone ,7.2,0.0,2.0,7.0,2.0,0.0,4.0,0.0
20150410,Guardians,Tigers,4.0,8.0,0.0,5.0,10.0,18.0,Z. McAllister ,4.0,5.0,13.0,5.0,1.0,A. Simon ,5.1,3.0,7.0,3.0,2.0,0.0,3.0,1.0
20150410,Rockies,Cubs,5.0,1.0,3.0,1.0,11.0,5.0,T. Matzek,4.0,1.0,4.0,4.0,3.0,T. Wood ,4.2,3.0,7.0,5.0,2.0,1.0,0.0,2.0
20150410,Yankees,Red,5.0,6.0,0.0,1.0,14.0,18.0,N. Eovaldi,5.1,3.0,8.0,1.0,1.0,W. Miley,5.1,2.0,4.0,6.0,2.0,0.0,3.0,3.0
20150410,Phillies,Nationals,4.0,1.0,0.0,1.0,7.0,6.0,J. Williams,6.0,1.0,5.0,6.0,1.0,G. Gonzalez ,6.1,3.0,5.0,4.0,4.0,1.0,0.0,1.0
20150410,Reds,Cardinals,5.0,4.0,4.0,3.0,4.0,10.0,J. Marquis,6.0,3.0,5.0,7.0,2.0,J. Lackey,6.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0
20150410,Marlins,Rays,10.0,9.0,8.0,1.0,13.0,10.0,D. Haren,6.0,1.0,4.0,2.0,0.0,S. Geltz,2.0,1.0,2.0,1.0,1.0,1.0,8.0,9.0
20150410,Braves,Mets,5.0,3.0,3.0,3.0,9.0,8.0,E. Stults,5.0,3.0,7.0,3.0,1.0,J. Niese,5.0,3.0,7.0,2.0,2.0,1.0,0.0,2.0
20150410,Brewers,Pirates,2.0,6.0,2.0,5.0,9.0,10.0,M. Fiers ,5.0,5.0,7.0,8.0,1.0,J. Locke ,6.0,2.0,7.0,2.0,1.0,0.0,1.0,0.0
20150410,Diamondbacks,Dodgers,4.0,3.0,3.0,3.0,7.0,8.0,C. Anderson,5.0,3.0,5.0,6.0,3.0,B. Anderson,6.0,3.0,5.0,4.0,1.0,1.0,0.0,1.0
20150410,Angels,Royals,2.0,4.0,1.0,2.0,7.0,9.0,H. Santiago ,5.1,3.0,6.0,4.0,1.0,J. Vargas ,6.0,2.0,5.0,3.0,1.0,0.0,1.0,0.0
20150410,Athletics,Mariners,12.0,0.0,11.0,0.0,16.0,3.0,D. Pomeranz ,7.0,0.0,2.0,6.0,0.0,T. Walker ,3.1,9.0,9.0,3.0,2.0,1.0,0.0,3.0
20150410,Padres,Giants,1.0,0.0,0.0,0.0,5.0,5.0,B. Morrow,7.0,0.0,4.0,7.0,3.0,T. Lincecum,7.0,0.0,4.0,5.0,3.0,1.0,0.0,1.0
20150411,Yankees,Red,4.0,8.0,1.0,2.0,5.0,9.0,A. Warren ,5.1,2.0,5.0,1.0,2.0,J. Kelly ,7.0,1.0,1.0,8.0,2.0,0.0,6.0,3.0
20150411,Reds,Cardinals,1.0,4.0,1.0,2.0,6.0,8.0,J. Cueto ,7.0,2.0,4.0,4.0,1.0,M. Wacha ,6.1,1.0,5.0,2.0,1.0,0.0,2.0,0.0
20150411,White,Twins,5.0,4.0,4.0,4.0,10.0,8.0,J. Samardzija,7.0,4.0,8.0,6.0,0.0,M. Pelfrey,5.0,4.0,7.0,2.0,1.0,1.0,0.0,1.0
20150411,Athletics,Mariners,4.0,5.0,0.0,1.0,12.0,10.0,S. Gray,7.1,2.0,6.0,4.0,1.0,J.A. Happ,6.1,2.0,7.0,1.0,0.0,0.0,3.0,2.0
20150411,Guardians,Tigers,6.0,9.0,0.0,2.0,8.0,14.0,C. Kluber,6.1,2.0,7.0,10.0,1.0,D. Price,5.2,3.0,4.0,6.0,3.0,0.0,7.0,3.0
20150411,Marlins,Rays,0.0,2.0,0.0,0.0,2.0,6.0,J. Cosart ,6.0,1.0,3.0,1.0,3.0,C. Archer ,7.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0
20150411,Orioles,Blue,7.0,1.0,7.0,0.0,9.0,3.0,U. Jimenez ,7.0,0.0,1.0,8.0,1.0,A. Sanchez ,3.1,3.0,7.0,1.0,2.0,1.0,1.0,4.0
20150411,Phillies,Nationals,3.0,2.0,0.0,1.0,13.0,7.0,C. Hamels,7.0,1.0,2.0,5.0,2.0,D. Fister,6.1,0.0,6.0,1.0,1.0,1.0,1.0,3.0
20150411,Brewers,Pirates,6.0,0.0,5.0,0.0,7.0,2.0,J. Nelson ,7.0,0.0,2.0,9.0,2.0,V. Worley ,6.1,6.0,7.0,4.0,2.0,1.0,0.0,0.0
20150411,Braves,Mets,5.0,3.0,5.0,0.0,9.0,3.0,J. Teheran ,6.0,3.0,2.0,5.0,4.0,D. Gee ,5.0,5.0,8.0,2.0,0.0,1.0,0.0,0.0
20150411,Rangers,Astros,6.0,2.0,5.0,1.0,9.0,11.0,Y. Gallardo ,5.2,2.0,8.0,7.0,1.0,R. Hernandez ,4.2,5.0,5.0,2.0,4.0,1.0,0.0,1.0
20150411,Rockies,Cubs,5.0,9.0,3.0,6.0,12.0,12.0,K. Kendrick ,5.0,8.0,8.0,3.0,5.0,J. Hammel ,6.0,3.0,8.0,6.0,0.0,0.0,1.0,2.0
20150411,Diamondbacks,Dodgers,6.0,0.0,4.0,0.0,10.0,2.0,A. Bradley ,6.0,0.0,1.0,6.0,4.0,C. Kershaw ,6.1,6.0,10.0,5.0,3.0,1.0,0.0,0.0
20150411,Padres,Giants,10.0,2.0,5.0,1.0,20.0,5.0,J. Shields ,7.0,1.0,3.0,7.0,1.0,M. Bumgarner ,3.0,5.0,10.0,4.0,0.0,1.0,1.0,5.0
20150411,Angels,Royals,4.0,6.0,4.0,6.0,6.0,12.0,J. Weaver ,4.1,6.0,7.0,5.0,4.0,J. Guthrie ,7.0,4.0,6.0,2.0,1.0,0.0,0.0,0.0
20150412,Guardians,Tigers,5.0,8.0,3.0,7.0,9.0,11.0,T. House ,1.1,6.0,6.0,2.0,3.0,K. Lobstein ,5.0,3.0,8.0,3.0,2.0,0.0,2.0,2.0
20150412,Reds,Cardinals,5.0,7.0,2.0,3.0,11.0,10.0,R. Iglesias,5.0,3.0,5.0,4.0,2.0,C. Martinez,6.0,2.0,4.0,8.0,2.0,0.0,4.0,3.0
20150412,Marlins,Rays,5.0,8.0,2.0,4.0,8.0,14.0,H. Alvarez ,5.0,4.0,7.0,3.0,1.0,N. Karns ,7.0,2.0,2.0,6.0,2.0,0.0,4.0,3.0
20150412,Orioles,Blue,7.0,10.0,7.0,8.0,8.0,10.0,C. Tillman ,2.2,7.0,7.0,1.0,3.0,D. Hutchison,4.1,7.0,7.0,5.0,1.0,0.0,3.0,0.0
20150412,Braves,Mets,3.0,4.0,2.0,3.0,7.0,9.0,A. Wood,6.2,3.0,8.0,7.0,3.0,B. Colon ,7.0,3.0,6.0,5.0,0.0,0.0,1.0,0.0
20150412,Phillies,Nationals,3.0,4.0,1.0,2.0,9.0,9.0,S. O'Sullivan,6.0,2.0,5.0,5.0,1.0,M. Scherzer,6.0,1.0,6.0,8.0,2.0,0.0,2.0,2.0
20150412,Phillies,Nationals,3.0,4.0,1.0,2.0,9.0,9.0,S. O'Sullivan,6.0,2.0,5.0,5.0,1.0,M. Scherzer,6.0,1.0,6.0,8.0,2.0,0.0,2.0,2.0
20150412,White,Twins,6.0,2.0,3.0,1.0,12.0,7.0,C. Sale ,6.0,1.0,5.0,8.0,1.0,P. Hughes ,6.0,3.0,8.0,4.0,0.0,1.0,1.0,3.0
20150412,Brewers,Pirates,2.0,10.0,2.0,1.0,5.0,13.0,K. Lohse ,6.1,4.0,8.0,5.0,0.0,C. Sadler ,5.0,2.0,4.0,5.0,1.0,0.0,6.0,0.0
20150412,Rangers,Astros,4.0,6.0,0.0,4.0,9.0,11.0,C. Lewis,7.1,4.0,7.0,5.0,0.0,D. Keuchel,7.0,2.0,6.0,3.0,3.0,0.0,2.0,2.0
20150412,Angels,Royals,2.0,9.0,1.0,6.0,5.0,14.0,C.J. Wilson ,5.2,7.0,9.0,4.0,1.0,Y. Ventura ,5.2,2.0,4.0,7.0,2.0,0.0,2.0,0.0
